,State,date,cases
0,AK,2020-03-01,0
1,AK,2020-03-02,0
2,AK,2020-03-03,0
3,AK,2020-03-04,0
4,AK,2020-03-05,0
5,AK,2020-03-06,0
6,AK,2020-03-07,0
7,AK,2020-03-08,0
8,AK,2020-03-09,0
9,AK,2020-03-10,0
10,AK,2020-03-11,0
11,AK,2020-03-12,1
12,AK,2020-03-13,1
13,AK,2020-03-14,1
14,AK,2020-03-15,1
15,AK,2020-03-16,3
16,AK,2020-03-17,6
17,AK,2020-03-18,6
18,AK,2020-03-19,10
19,AK,2020-03-20,13
20,AK,2020-03-21,15
21,AK,2020-03-22,23
22,AK,2020-03-23,37
23,AK,2020-03-24,42
24,AK,2020-03-25,59
25,AK,2020-03-26,69
26,AK,2020-03-27,85
27,AK,2020-03-28,102
28,AK,2020-03-29,114
29,AK,2020-03-30,119
30,AK,2020-03-31,133
31,AK,2020-04-01,142
32,AK,2020-04-02,147
33,AK,2020-04-03,157
34,AK,2020-04-04,171
35,AK,2020-04-05,185
36,AK,2020-04-06,191
37,AK,2020-04-07,213
38,AK,2020-04-08,226
39,AK,2020-04-09,236
40,AK,2020-04-10,247
41,AK,2020-04-11,258
42,AK,2020-04-12,273
43,AK,2020-04-13,278
44,AK,2020-04-14,286
45,AK,2020-04-15,294
46,AK,2020-04-16,301
47,AK,2020-04-17,310
48,AK,2020-04-18,315
49,AK,2020-04-19,320
50,AK,2020-04-20,322
51,AK,2020-04-21,330
52,AK,2020-04-22,336
53,AK,2020-04-23,338
54,AK,2020-04-24,340
55,AK,2020-04-25,340
56,AK,2020-04-26,342
57,AK,2020-04-27,346
58,AK,2020-04-28,352
59,AK,2020-04-29,356
60,AK,2020-04-30,356
61,AK,2020-05-01,365
62,AK,2020-05-02,366
63,AK,2020-05-03,369
64,AK,2020-05-04,371
65,AK,2020-05-05,372
66,AK,2020-05-06,373
67,AK,2020-05-07,375
68,AK,2020-05-08,378
69,AK,2020-05-09,379
70,AK,2020-05-10,380
71,AK,2020-05-11,382
72,AK,2020-05-12,384
73,AK,2020-05-13,384
74,AK,2020-05-14,388
75,AK,2020-05-15,388
76,AK,2020-05-16,388
77,AK,2020-05-17,397
78,AK,2020-05-18,400
79,AK,2020-05-19,400
80,AK,2020-05-20,402
81,AK,2020-05-21,402
82,AK,2020-05-22,404
83,AK,2020-05-23,408
84,AK,2020-05-24,408
85,AK,2020-05-25,409
86,AK,2020-05-26,411
87,AK,2020-05-27,415
88,AK,2020-05-28,425
89,AK,2020-05-29,430
90,AK,2020-05-30,435
91,AK,2020-05-31,460
92,AK,2020-06-01,467
93,AK,2020-06-02,487
94,AK,2020-06-03,505
95,AK,2020-06-04,514
96,AK,2020-06-05,526
97,AK,2020-06-06,536
98,AK,2020-06-07,550
99,AK,2020-06-08,563
100,AK,2020-06-09,578
101,AK,2020-06-10,593
102,AK,2020-06-11,615
103,AK,2020-06-12,634
104,AK,2020-06-13,659
