,Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value
0,Symptoms of Depressive Disorder,National Estimate,United States,United States,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,23.5
1,Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.7
2,Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,25.7
3,Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,24.8
4,Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,23.2
5,Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,18.4
6,Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,13.6
7,Symptoms of Depressive Disorder,By Age,United States,80 years and above,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,14.4
8,Symptoms of Depressive Disorder,By Sex,United States,Male,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,20.8
9,Symptoms of Depressive Disorder,By Sex,United States,Female,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,26.1
10,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,29.4
11,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.4
12,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,25.6
13,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,23.6
14,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.3
15,Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.7
16,Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,25.4
17,Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,25.6
18,Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,17.6
19,Symptoms of Depressive Disorder,By State,Alabama,Alabama,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,18.6
20,Symptoms of Depressive Disorder,By State,Alaska,Alaska,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,19.2
21,Symptoms of Depressive Disorder,By State,Arizona,Arizona,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.4
22,Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,26.6
23,Symptoms of Depressive Disorder,By State,California,California,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,25.4
24,Symptoms of Depressive Disorder,By State,Colorado,Colorado,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.0
25,Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,24.4
26,Symptoms of Depressive Disorder,By State,Delaware,Delaware,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.1
27,Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,26.4
28,Symptoms of Depressive Disorder,By State,Florida,Florida,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.5
29,Symptoms of Depressive Disorder,By State,Georgia,Georgia,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,25.6
30,Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,20.0
31,Symptoms of Depressive Disorder,By State,Idaho,Idaho,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,20.6
32,Symptoms of Depressive Disorder,By State,Illinois,Illinois,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,23.3
33,Symptoms of Depressive Disorder,By State,Indiana,Indiana,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,26.4
34,Symptoms of Depressive Disorder,By State,Iowa,Iowa,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,16.5
35,Symptoms of Depressive Disorder,By State,Kansas,Kansas,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.1
36,Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,23.2
37,Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.1
38,Symptoms of Depressive Disorder,By State,Maine,Maine,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,19.5
39,Symptoms of Depressive Disorder,By State,Maryland,Maryland,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,20.9
40,Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,25.9
