,Indicator,Group,State_x,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,State_y,date,cases,state2
0,Symptoms of Depressive Disorder,By State,Alabama,Alabama,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,18.6,AL,2020-04-23,5825,Alabama
1,Symptoms of Anxiety Disorder,By State,Alabama,Alabama,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,25.6,AL,2020-04-23,5825,Alabama
2,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.3,AL,2020-04-23,5825,Alabama
3,Symptoms of Depressive Disorder,By State,Alaska,Alaska,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,19.2,AK,2020-04-23,338,Alaska
4,Symptoms of Anxiety Disorder,By State,Alaska,Alaska,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,27.7,AK,2020-04-23,338,Alaska
5,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.5,AK,2020-04-23,338,Alaska
6,Symptoms of Depressive Disorder,By State,Arizona,Arizona,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.4,AZ,2020-04-23,5768,Arizona
7,Symptoms of Anxiety Disorder,By State,Arizona,Arizona,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.3,AZ,2020-04-23,5768,Arizona
8,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,36.4,AZ,2020-04-23,5768,Arizona
9,Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,26.6,AR,2020-04-23,2598,Arkansas
10,Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,33.7,AR,2020-04-23,2598,Arkansas
11,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,38.0,AR,2020-04-23,2598,Arkansas
12,Symptoms of Depressive Disorder,By State,California,California,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,25.4,CA,2020-04-23,50684,California
13,Symptoms of Anxiety Disorder,By State,California,California,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.8,CA,2020-04-23,50684,California
14,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,37.4,CA,2020-04-23,50684,California
15,Symptoms of Depressive Disorder,By State,Colorado,Colorado,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.0,CO,2020-04-23,11182,Colorado
16,Symptoms of Anxiety Disorder,By State,Colorado,Colorado,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.6,CO,2020-04-23,11182,Colorado
17,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,35.9,CO,2020-04-23,11182,Colorado
18,Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,24.4,CT,2020-04-23,23100,Connecticut
19,Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.9,CT,2020-04-23,23100,Connecticut
20,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,1.0,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,40.2,CT,2020-04-23,23100,Connecticut
