,location,date,total_cases,new_cases_smoothed_per_million
341058,United States,2020-04-01,188679.0,53.477
341059,United States,2020-04-02,211939.0,58.514
341060,United States,2020-04-03,240613.0,64.662
341061,United States,2020-04-04,270403.0,69.441
341062,United States,2020-04-05,302460.0,74.387
341063,United States,2020-04-06,334594.0,79.227
341064,United States,2020-04-07,361578.0,79.575
341065,United States,2020-04-08,390207.0,85.104
341066,United States,2020-04-09,419562.0,87.678
341067,United States,2020-04-10,453710.0,89.989
341068,United States,2020-04-11,488453.0,92.081
341069,United States,2020-04-12,521632.0,92.555
341070,United States,2020-04-13,553167.0,92.302
341071,United States,2020-04-14,580261.0,92.348
341072,United States,2020-04-15,605505.0,90.919
341073,United States,2020-04-16,630764.0,89.189
341074,United States,2020-04-17,655972.0,85.414
341075,United States,2020-04-18,687466.0,84.042
341076,United States,2020-04-19,717782.0,82.833
341077,United States,2020-04-20,746063.0,81.458
341078,United States,2020-04-21,772133.0,81.026
341079,United States,2020-04-22,798561.0,81.526
341080,United States,2020-04-23,824488.0,81.808
341081,United States,2020-04-24,854958.0,84.03
341082,United States,2020-04-25,888169.0,84.755
341083,United States,2020-04-26,922947.0,86.64
341084,United States,2020-04-27,956550.0,88.887
341085,United States,2020-04-28,982613.0,88.884
341086,United States,2020-04-29,1006371.0,87.757
341087,United States,2020-04-30,1030306.0,86.915
341088,United States,2020-05-01,1057080.0,85.355
341089,United States,2020-05-02,1088301.0,84.514
341090,United States,2020-05-03,1121383.0,83.798
341091,United States,2020-05-04,1149675.0,81.555
341092,United States,2020-05-05,1175602.0,81.498
341093,United States,2020-05-06,1197926.0,80.892
341094,United States,2020-05-07,1220804.0,80.446
341095,United States,2020-05-08,1246244.0,79.882
341096,United States,2020-05-09,1274796.0,78.755
341097,United States,2020-05-10,1303629.0,76.961
341098,United States,2020-05-11,1329546.0,75.958
341099,United States,2020-05-12,1350202.0,73.732
341100,United States,2020-05-13,1370152.0,72.73
341101,United States,2020-05-14,1394054.0,73.162
341102,United States,2020-05-15,1411390.0,69.74
341103,United States,2020-05-16,1446033.0,72.312
341104,United States,2020-05-17,1472661.0,71.381
341105,United States,2020-05-18,1498742.0,71.45
341106,United States,2020-05-19,1518659.0,71.138
341107,United States,2020-05-20,1541403.0,72.318
341108,United States,2020-05-21,1563326.0,71.482
341109,United States,2020-05-22,1586832.0,74.088
341110,United States,2020-05-23,1613023.0,70.519
341111,United States,2020-05-24,1638986.0,70.238
341112,United States,2020-05-25,1660451.0,68.288
341113,United States,2020-05-26,1681102.0,68.598
341114,United States,2020-05-27,1700481.0,67.177
341115,United States,2020-05-28,1717991.0,65.314
341116,United States,2020-05-29,1737499.0,63.625
341117,United States,2020-05-30,1761681.0,62.777
341118,United States,2020-05-31,1785422.0,61.839
341119,United States,2020-06-01,1809549.0,62.963
341120,United States,2020-06-02,1831015.0,63.307
341121,United States,2020-06-03,1848172.0,62.369
341122,United States,2020-06-04,1869146.0,63.832
341123,United States,2020-06-05,1889841.0,64.333
341124,United States,2020-06-06,1910711.0,62.934
341125,United States,2020-06-07,1935202.0,63.251
341126,United States,2020-06-08,1958487.0,62.895
341127,United States,2020-06-09,1976942.0,61.624
341128,United States,2020-06-10,1995093.0,62.044
341129,United States,2020-06-11,2013674.0,61.033
341130,United States,2020-06-12,2035855.0,61.661
341131,United States,2020-06-13,2058745.0,62.514
341132,United States,2020-06-14,2087078.0,64.136
341133,United States,2020-06-15,2113512.0,65.466
341134,United States,2020-06-16,2134290.0,66.447
341135,United States,2020-06-17,2154881.0,67.477
341136,United States,2020-06-18,2179658.0,70.094
341137,United States,2020-06-19,2205474.0,71.629
341138,United States,2020-06-20,2233994.0,74.006
341139,United States,2020-06-21,2267099.0,76.021
341140,United States,2020-06-22,2300566.0,78.991
341141,United States,2020-06-23,2327911.0,81.765
341142,United States,2020-06-24,2356609.0,85.188
341143,United States,2020-06-25,2394496.0,90.724
341144,United States,2020-06-26,2431816.0,95.582
341145,United States,2020-06-27,2478837.0,103.395
341146,United States,2020-06-28,2525377.0,109.069
341147,United States,2020-06-29,2569030.0,113.37
341148,United States,2020-06-30,2606613.0,117.694
341149,United States,2020-07-01,2645130.0,121.84
341150,United States,2020-07-02,2692383.0,125.795
341151,United States,2020-07-03,2751725.0,135.095
341152,United States,2020-07-04,2807177.0,138.655
341153,United States,2020-07-05,2867543.0,144.494
341154,United States,2020-07-06,2916521.0,146.743
341155,United States,2020-07-07,2956934.0,147.938
341156,United States,2020-07-08,3007697.0,153.109
341157,United States,2020-07-09,3064451.0,157.121
341158,United States,2020-07-10,3129226.0,159.416
341159,United States,2020-07-11,3191169.0,162.157
341160,United States,2020-07-12,3259748.0,165.625
341161,United States,2020-07-13,3328010.0,173.769
341162,United States,2020-07-14,3386690.0,181.483
341163,United States,2020-07-15,3442977.0,183.815
341164,United States,2020-07-16,3507493.0,187.093
341165,United States,2020-07-17,3579882.0,190.308
341166,United States,2020-07-18,3649063.0,193.365
341167,United States,2020-07-19,3726015.0,196.901
341168,United States,2020-07-20,3793339.0,196.505
341169,United States,2020-07-21,3853351.0,197.067
341170,United States,2020-07-22,3911870.0,198.01
341171,United States,2020-07-23,3975206.0,197.512
341172,United States,2020-07-24,4047622.0,197.523
341173,United States,2020-07-25,4120764.0,199.196
341174,United States,2020-07-26,4193916.0,197.591
341175,United States,2020-07-27,4255512.0,195.172
341176,United States,2020-07-28,4313271.0,194.221
341177,United States,2020-07-29,4367278.0,192.315
341178,United States,2020-07-30,4425986.0,190.361
341179,United States,2020-07-31,4490841.0,187.168
341180,United States,2020-08-01,4556982.0,184.211
341181,United States,2020-08-02,4625166.0,182.113
341182,United States,2020-08-03,4681578.0,179.924
341183,United States,2020-08-04,4732427.0,177.006
341184,United States,2020-08-05,4777756.0,173.342
341185,United States,2020-08-06,4829812.0,170.533
341186,United States,2020-08-07,4885404.0,166.621
341187,United States,2020-08-08,4938569.0,161.141
341188,United States,2020-08-09,5001075.0,158.743
341189,United States,2020-08-10,5052754.0,156.745
341190,United States,2020-08-11,5099227.0,154.897
341191,United States,2020-08-12,5142604.0,154.072
341192,United States,2020-08-13,5201562.0,156.987
341193,United States,2020-08-14,5255954.0,156.48
341194,United States,2020-08-15,5307476.0,155.787
341195,United States,2020-08-16,5363737.0,153.149
341196,United States,2020-08-17,5414874.0,152.92
341197,United States,2020-08-18,5456369.0,150.818
341198,United States,2020-08-19,5497958.0,150.063
341199,United States,2020-08-20,5539583.0,142.744
341200,United States,2020-08-21,5586157.0,139.442
341201,United States,2020-08-22,5632344.0,137.189
341202,United States,2020-08-23,5679525.0,133.355
341203,United States,2020-08-24,5722075.0,129.729
341204,United States,2020-08-25,5758285.0,127.497
341205,United States,2020-08-26,5794001.0,125.017
341206,United States,2020-08-27,5834575.0,124.573
